target_participant_id,target_datetime,source_participant_id,source_datetime,weight,interaction_category
Matthew,2023-01-08 00:32:39.372,Mason U,2023-01-08 01:35:31.615,0.9672397807520441,response
Matthew,2023-01-08 00:32:39.372,Mason U,2023-01-08 01:35:35.260,0.9672086503535179,response
Matthew,2023-01-08 00:32:39.372,Mary I,2023-01-08 01:43:01.329,0.9634065183884641,response
Matthew,2023-01-08 00:32:39.372,Mary I,2023-01-08 01:43:47.247,0.9630159793160324,response
Matthew,2023-01-08 00:32:39.372,Mary I,2023-01-08 01:44:27.741,0.96267170349901,response
Matthew,2023-01-08 00:32:39.372,Mary I,2023-01-08 01:46:14.197,0.9617672125326533,response
Matthew,2023-01-08 00:32:39.372,Robert,2023-01-08 01:46:48.903,0.9614725207859298,response
Matthew,2023-01-08 00:32:39.372,Mary I,2023-01-08 01:48:20.852,0.9606922100504586,response
Matthew,2023-01-08 00:32:39.372,Steve W,2023-01-08 02:51:47.386,0.9289384076723614,response
Matthew,2023-01-08 00:32:39.372,Robert,2023-01-08 02:52:17.216,0.928693758942895,response
Matthew,2023-01-08 00:32:39.372,Hope R,2023-01-08 02:52:39.841,0.9285082445023094,response
Matthew,2023-01-08 00:32:39.372,Mary I,2023-01-08 02:53:11.567,0.9282481685240039,response
Matthew,2023-01-08 00:32:39.372,Mindy L,2023-01-08 02:53:36.019,0.9280477713506742,response
Matthew,2023-01-08 00:32:39.372,Steve W,2023-01-08 02:54:46.717,0.9274686068994719,response
Matthew,2023-01-08 00:32:39.372,Mary I,2023-01-08 02:55:24.906,0.9271559094997815,response
Mason U,2023-01-08 01:35:31.615,Mary I,2023-01-08 01:43:01.329,0.9960369058015794,response
Mason U,2023-01-08 01:35:31.615,Mary I,2023-01-08 01:43:47.247,0.9956331392483386,response
Mason U,2023-01-08 01:35:31.615,Matthew,2023-01-08 01:44:09.824,0.9954346750040812,response
Mason U,2023-01-08 01:35:31.615,Mary I,2023-01-08 01:44:27.741,0.9952772028777782,response
Mason U,2023-01-08 01:35:31.615,Matthew,2023-01-08 01:44:38.625,0.99518155579964,response
Mason U,2023-01-08 01:35:31.615,Mary I,2023-01-08 01:46:14.197,0.9943420769820531,response
Mason U,2023-01-08 01:35:31.615,Robert,2023-01-08 01:46:48.903,0.9940374040844038,response
Mason U,2023-01-08 01:35:31.615,Mary I,2023-01-08 01:48:20.852,0.993230664379318,response
Mason U,2023-01-08 01:35:31.615,Steve W,2023-01-08 02:51:47.386,0.9604013670220399,response
Mason U,2023-01-08 01:35:31.615,Robert,2023-01-08 02:52:17.216,0.9601484320887019,response
Mason U,2023-01-08 01:35:31.615,Hope R,2023-01-08 02:52:39.841,0.9599566343108631,response
Mason U,2023-01-08 01:35:31.615,Mary I,2023-01-08 02:53:11.567,0.9596877496108323,response
Mason U,2023-01-08 01:35:31.615,Mindy L,2023-01-08 02:53:36.019,0.9594805650250474,response
Mason U,2023-01-08 01:35:31.615,Steve W,2023-01-08 02:54:46.717,0.9588817843889241,response
Mason U,2023-01-08 01:35:31.615,Mary I,2023-01-08 02:55:24.906,0.9585584959904184,response
Mason U,2023-01-08 01:35:35.260,Mary I,2023-01-08 01:43:01.329,0.9960689640609975,response
Mason U,2023-01-08 01:35:35.260,Mary I,2023-01-08 01:43:47.247,0.9956651845122011,response
Mason U,2023-01-08 01:35:35.260,Matthew,2023-01-08 01:44:09.824,0.9954667138802104,response
Mason U,2023-01-08 01:35:35.260,Mary I,2023-01-08 01:44:27.741,0.9953092366855386,response
Mason U,2023-01-08 01:35:35.260,Matthew,2023-01-08 01:44:38.625,0.9952135865289212,response
Mason U,2023-01-08 01:35:35.260,Mary I,2023-01-08 01:46:14.197,0.9943740806920246,response
Mason U,2023-01-08 01:35:35.260,Robert,2023-01-08 01:46:48.903,0.9940693979882298,response
Mason U,2023-01-08 01:35:35.260,Mary I,2023-01-08 01:48:20.852,0.9932626323175692,response
Mason U,2023-01-08 01:35:35.260,Steve W,2023-01-08 02:51:47.386,0.9604322783226052,response
Mason U,2023-01-08 01:35:35.260,Robert,2023-01-08 02:52:17.216,0.9601793352483503,response
Mason U,2023-01-08 01:35:35.260,Hope R,2023-01-08 02:52:39.841,0.9599875312973438,response
Mason U,2023-01-08 01:35:35.260,Mary I,2023-01-08 02:53:11.567,0.9597186379430397,response
Mason U,2023-01-08 01:35:35.260,Mindy L,2023-01-08 02:53:36.019,0.9595114466888501,response
Mason U,2023-01-08 01:35:35.260,Steve W,2023-01-08 02:54:46.717,0.9589126467804843,response
Mason U,2023-01-08 01:35:35.260,Mary I,2023-01-08 02:55:24.906,0.958589347976678,response
Mary I,2023-01-08 01:43:01.329,Matthew,2023-01-08 01:44:09.824,0.9993953730087807,response
Mary I,2023-01-08 01:43:01.329,Matthew,2023-01-08 01:44:38.625,0.9991412466777512,response
Mary I,2023-01-08 01:43:01.329,Robert,2023-01-08 01:46:48.903,0.9979925425398102,response
Mary I,2023-01-08 01:43:01.329,Steve W,2023-01-08 02:51:47.386,0.96422267230062,response
Mary I,2023-01-08 01:43:01.329,Robert,2023-01-08 02:52:17.216,0.9639687309738832,response
Mary I,2023-01-08 01:43:01.329,Hope R,2023-01-08 02:52:39.841,0.9637761700589998,response
Mary I,2023-01-08 01:43:01.329,Mindy L,2023-01-08 02:53:36.019,0.9632982065588095,response
Mary I,2023-01-08 01:43:01.329,Steve W,2023-01-08 02:54:46.717,0.9626970434566839,response
Mary I,2023-01-08 01:43:01.329,Steve W,2023-01-10 02:15:04.017,0.21378193285979394,response
Mary I,2023-01-08 01:43:01.329,Hope R,2023-01-10 15:54:33.078,0.13848948443109105,response
Mary I,2023-01-08 01:43:01.329,Steve W,2023-01-10 16:06:37.192,0.1376068191423864,response
Mary I,2023-01-08 01:43:01.329,Ada T,2023-01-10 19:27:37.980,0.12370551965599816,response
Mary I,2023-01-08 01:43:01.329,Hope R,2023-01-10 19:27:51.981,0.12369022705789973,response
Mary I,2023-01-08 01:43:01.329,Robert,2023-01-10 19:28:12.522,0.1236677945633293,response
Mary I,2023-01-08 01:43:01.329,Hope R,2023-01-10 19:28:19.904,0.12365973379407527,response
Mary I,2023-01-08 01:43:47.247,Matthew,2023-01-08 01:44:09.824,0.999800665288816,response
Mary I,2023-01-08 01:43:47.247,Matthew,2023-01-08 01:44:38.625,0.9995464359000349,response
Mary I,2023-01-08 01:43:47.247,Robert,2023-01-08 01:46:48.903,0.9983972659195137,response
Mary I,2023-01-08 01:43:47.247,Steve W,2023-01-08 02:51:47.386,0.9646137007322826,response
Mary I,2023-01-08 01:43:47.247,Robert,2023-01-08 02:52:17.216,0.9643596564228204,response
Mary I,2023-01-08 01:43:47.247,Hope R,2023-01-08 02:52:39.841,0.9641670174172691,response
Mary I,2023-01-08 01:43:47.247,Mindy L,2023-01-08 02:53:36.019,0.9636888600849658,response
Mary I,2023-01-08 01:43:47.247,Steve W,2023-01-08 02:54:46.717,0.9630874531886713,response
Mary I,2023-01-08 01:43:47.247,Steve W,2023-01-10 02:15:04.017,0.21386862944588905,response
Mary I,2023-01-08 01:43:47.247,Hope R,2023-01-10 15:54:33.078,0.13854564710746706,response
Mary I,2023-01-08 01:43:47.247,Steve W,2023-01-10 16:06:37.192,0.1376626238649065,response
Mary I,2023-01-08 01:43:47.247,Ada T,2023-01-10 19:27:37.980,0.12375568688057054,response
Mary I,2023-01-08 01:43:47.247,Hope R,2023-01-10 19:27:51.981,0.12374038808075044,response
Mary I,2023-01-08 01:43:47.247,Robert,2023-01-10 19:28:12.522,0.12371794648896271,response
Mary I,2023-01-08 01:43:47.247,Hope R,2023-01-10 19:28:19.904,0.1237098824507646,response
Matthew,2023-01-08 01:44:09.824,Mary I,2023-01-08 01:44:27.741,0.9998418056651459,response
Matthew,2023-01-08 01:44:09.824,Mary I,2023-01-08 01:46:14.197,0.9989023910363343,response
Matthew,2023-01-08 01:44:09.824,Robert,2023-01-08 01:46:48.903,0.9985963208287155,response
Matthew,2023-01-08 01:44:09.824,Mary I,2023-01-08 01:48:20.852,0.9977858812033504,response
Matthew,2023-01-08 01:44:09.824,Steve W,2023-01-08 02:51:47.386,0.9648060200616402,response
Matthew,2023-01-08 01:44:09.824,Robert,2023-01-08 02:52:17.216,0.9645519251022326,response
Matthew,2023-01-08 01:44:09.824,Hope R,2023-01-08 02:52:39.841,0.9643592476893849,response
Matthew,2023-01-08 01:44:09.824,Mary I,2023-01-08 02:53:11.567,0.9640891298134632,response
Matthew,2023-01-08 01:44:09.824,Mindy L,2023-01-08 02:53:36.019,0.9638809950247248,response
Matthew,2023-01-08 01:44:09.824,Steve W,2023-01-08 02:54:46.717,0.963279468223259,response
Matthew,2023-01-08 01:44:09.824,Mary I,2023-01-08 02:55:24.906,0.9629546971392055,response
Matthew,2023-01-08 01:44:09.824,Steve W,2023-01-10 02:15:04.017,0.2139112693869913,response
Matthew,2023-01-08 01:44:09.824,Hope R,2023-01-10 15:54:33.078,0.13857326957013466,response
Matthew,2023-01-08 01:44:09.824,Steve W,2023-01-10 16:06:37.192,0.13769007027529775,response
Matthew,2023-01-08 01:44:09.824,Ada T,2023-01-10 19:27:37.980,0.12378036060300164,response
Mary I,2023-01-08 01:44:27.741,Matthew,2023-01-08 01:44:38.625,0.9999038990566027,response
Mary I,2023-01-08 01:44:27.741,Robert,2023-01-08 01:46:48.903,0.9987543181037507,response
Mary I,2023-01-08 01:44:27.741,Steve W,2023-01-08 02:51:47.386,0.9649586710567697,response
Mary I,2023-01-08 01:44:27.741,Robert,2023-01-08 02:52:17.216,0.9647045358946192,response
Mary I,2023-01-08 01:44:27.741,Hope R,2023-01-08 02:52:39.841,0.9645118279964736,response
Mary I,2023-01-08 01:44:27.741,Mindy L,2023-01-08 02:53:36.019,0.964033499662981,response
Mary I,2023-01-08 01:44:27.741,Steve W,2023-01-08 02:54:46.717,0.9634318776883273,response
Mary I,2023-01-08 01:44:27.741,Steve W,2023-01-10 02:15:04.017,0.213945114292042,response
Mary I,2023-01-08 01:44:27.741,Hope R,2023-01-10 15:54:33.078,0.1385951945447496,response
Mary I,2023-01-08 01:44:27.741,Steve W,2023-01-10 16:06:37.192,0.13771185551068177,response
Mary I,2023-01-08 01:44:27.741,Ada T,2023-01-10 19:27:37.980,0.12379994505296424,response
Mary I,2023-01-08 01:44:27.741,Hope R,2023-01-10 19:27:51.981,0.12378464078190529,response
Mary I,2023-01-08 01:44:27.741,Robert,2023-01-10 19:28:12.522,0.12376219116443517,response
Mary I,2023-01-08 01:44:27.741,Hope R,2023-01-10 19:28:19.904,0.12375412424233247,response
Mary I,2023-01-08 01:44:27.741,Hope R,2023-01-10 19:28:28.713,0.12374449860737063,response
Matthew,2023-01-08 01:44:38.625,Mary I,2023-01-08 01:46:14.197,0.9991564566156853,response
Matthew,2023-01-08 01:44:38.625,Robert,2023-01-08 01:46:48.903,0.998850308560716,response
Matthew,2023-01-08 01:44:38.625,Mary I,2023-01-08 01:48:20.852,0.9980396628042866,response
Matthew,2023-01-08 01:44:38.625,Steve W,2023-01-08 02:51:47.386,0.965051413408025,response
Matthew,2023-01-08 01:44:38.625,Robert,2023-01-08 02:52:17.216,0.9647972538208985,response
Matthew,2023-01-08 01:44:38.625,Hope R,2023-01-08 02:52:39.841,0.9646045274015622,response
Matthew,2023-01-08 01:44:38.625,Mary I,2023-01-08 02:53:11.567,0.9643343408225767,response
Matthew,2023-01-08 01:44:38.625,Mindy L,2023-01-08 02:53:36.019,0.9641261530958475,response
Matthew,2023-01-08 01:44:38.625,Steve W,2023-01-08 02:54:46.717,0.9635244732991977,response
Matthew,2023-01-08 01:44:38.625,Mary I,2023-01-08 02:55:24.906,0.9631996196113236,response
Matthew,2023-01-08 01:44:38.625,Steve W,2023-01-10 02:15:04.017,0.21396567659541746,response
Matthew,2023-01-08 01:44:38.625,Hope R,2023-01-10 15:54:33.078,0.13860851495379958,response
Matthew,2023-01-08 01:44:38.625,Steve W,2023-01-10 16:06:37.192,0.13772509102185845,response
Matthew,2023-01-08 01:44:38.625,Ada T,2023-01-10 19:27:37.980,0.12381184348792716,response
Matthew,2023-01-08 01:44:38.625,Hope R,2023-01-10 19:27:51.981,0.12379653774597198,response
Mary I,2023-01-08 01:46:14.197,Robert,2023-01-08 01:46:48.903,0.9996935934778359,response
Mary I,2023-01-08 01:46:14.197,Steve W,2023-01-08 02:51:47.386,0.9658661634203116,response
Mary I,2023-01-08 01:46:14.197,Robert,2023-01-08 02:52:17.216,0.965611789257543,response
Mary I,2023-01-08 01:46:14.197,Hope R,2023-01-08 02:52:39.841,0.9654189001278575,response
Mary I,2023-01-08 01:46:14.197,Mindy L,2023-01-08 02:53:36.019,0.9649401219519799,response
Mary I,2023-01-08 01:46:14.197,Steve W,2023-01-08 02:54:46.717,0.9643379341838221,response
Mary I,2023-01-08 01:46:14.197,Steve W,2023-01-10 02:15:04.017,0.21414631830549938,response
Mary I,2023-01-08 01:46:14.197,Hope R,2023-01-10 15:54:33.078,0.13872553596189577,response
Mary I,2023-01-08 01:46:14.197,Steve W,2023-01-10 16:06:37.192,0.13784136619439663,response
Mary I,2023-01-08 01:46:14.197,Ada T,2023-01-10 19:27:37.980,0.12391637232400936,response
Mary I,2023-01-08 01:46:14.197,Hope R,2023-01-10 19:27:51.981,0.12390105366009653,response
Mary I,2023-01-08 01:46:14.197,Robert,2023-01-10 19:28:12.522,0.12387858292995393,response
Mary I,2023-01-08 01:46:14.197,Hope R,2023-01-10 19:28:19.904,0.12387050842133963,response
Mary I,2023-01-08 01:46:14.197,Hope R,2023-01-10 19:28:28.713,0.12386087373397944,response
Mary I,2023-01-08 01:46:14.197,Hope R,2023-01-10 19:28:37.704,0.12385104076012331,response
Robert,2023-01-08 01:46:48.903,Mary I,2023-01-08 01:48:20.852,0.999188421178347,response
Robert,2023-01-08 01:46:48.903,Steve W,2023-01-08 02:51:47.386,0.9661622018204178,response
Robert,2023-01-08 01:46:48.903,Hope R,2023-01-08 02:52:39.841,0.9657148014415694,response
Robert,2023-01-08 01:46:48.903,Mary I,2023-01-08 02:53:11.567,0.965444303873846,response
Robert,2023-01-08 01:46:48.903,Mindy L,2023-01-08 02:53:36.019,0.9652358765199723,response
Robert,2023-01-08 01:46:48.903,Steve W,2023-01-08 02:54:46.717,0.9646335041810011,response
Robert,2023-01-08 01:46:48.903,Mary I,2023-01-08 02:55:24.906,0.9643082765817405,response
Robert,2023-01-08 01:46:48.903,Steve W,2023-01-10 02:15:04.017,0.21421195424540573,response
Robert,2023-01-08 01:46:48.903,Hope R,2023-01-10 15:54:33.078,0.13876805539913808,response
Robert,2023-01-08 01:46:48.903,Steve W,2023-01-10 16:06:37.192,0.1378836146332198,response
Robert,2023-01-08 01:46:48.903,Ada T,2023-01-10 19:27:37.980,0.12395435274614143,response
Robert,2023-01-08 01:46:48.903,Hope R,2023-01-10 19:27:51.981,0.12393902938705142,response
Robert,2023-01-08 01:46:48.903,Hope R,2023-01-10 19:28:19.904,0.12390847478616548,response
Robert,2023-01-08 01:46:48.903,Hope R,2023-01-10 19:28:28.713,0.12389883714576942,response
Robert,2023-01-08 01:46:48.903,Hope R,2023-01-10 19:28:37.704,0.1238890011581025,response
Mary I,2023-01-08 01:48:20.852,Steve W,2023-01-08 02:51:47.386,0.9669469554911563,response
Mary I,2023-01-08 01:48:20.852,Robert,2023-01-08 02:52:17.216,0.9666922966869035,response
Mary I,2023-01-08 01:48:20.852,Hope R,2023-01-08 02:52:39.841,0.9664991917167115,response
Mary I,2023-01-08 01:48:20.852,Mindy L,2023-01-08 02:53:36.019,0.9660198777940858,response
Mary I,2023-01-08 01:48:20.852,Steve W,2023-01-08 02:54:46.717,0.9654170161854005,response
Mary I,2023-01-08 01:48:20.852,Steve W,2023-01-10 02:15:04.017,0.21438594533830233,response
Mary I,2023-01-08 01:48:20.852,Hope R,2023-01-10 15:54:33.078,0.1388807680892542,response
Mary I,2023-01-08 01:48:20.852,Steve W,2023-01-10 16:06:37.192,0.13799560894692223,response
Mary I,2023-01-08 01:48:20.852,Ada T,2023-01-10 19:27:37.980,0.12405503318379281,response
Mary I,2023-01-08 01:48:20.852,Hope R,2023-01-10 19:27:51.981,0.12403969737848806,response
Mary I,2023-01-08 01:48:20.852,Robert,2023-01-10 19:28:12.522,0.12401720150388143,response
Mary I,2023-01-08 01:48:20.852,Hope R,2023-01-10 19:28:19.904,0.1240091179599937,response
Mary I,2023-01-08 01:48:20.852,Hope R,2023-01-10 19:28:28.713,0.12399947249153971,response
Mary I,2023-01-08 01:48:20.852,Hope R,2023-01-10 19:28:37.704,0.12398962851470968,response
Mary I,2023-01-08 01:48:20.852,Robert,2023-01-10 19:28:57.527,0.12396792766604116,response
Steve W,2023-01-08 02:51:47.386,Robert,2023-01-08 02:52:17.216,0.9997366362210393,response
Steve W,2023-01-08 02:51:47.386,Hope R,2023-01-08 02:52:39.841,0.9995369303642749,response
Steve W,2023-01-08 02:51:47.386,Mary I,2023-01-08 02:53:11.567,0.9992569591884064,response
Steve W,2023-01-08 02:51:47.386,Mindy L,2023-01-08 02:53:36.019,0.9990412321050233,response
Steve W,2023-01-08 02:51:47.386,Mary I,2023-01-08 02:55:24.906,0.9980811449307536,response
Steve W,2023-01-08 02:51:47.386,Hope R,2023-01-10 15:54:33.078,0.14362811455227173,response
Steve W,2023-01-08 02:51:47.386,Ada T,2023-01-10 19:27:37.980,0.12829559313393737,response
Steve W,2023-01-08 02:51:47.386,Hope R,2023-01-10 19:27:51.981,0.12827973310643773,response
Steve W,2023-01-08 02:51:47.386,Robert,2023-01-10 19:28:12.522,0.12825646825775205,response
Steve W,2023-01-08 02:51:47.386,Hope R,2023-01-10 19:28:19.904,0.12824810839494688,response
Steve W,2023-01-08 02:51:47.386,Hope R,2023-01-10 19:28:28.713,0.12823813321647493,response
Steve W,2023-01-08 02:51:47.386,Hope R,2023-01-10 19:28:37.704,0.12822795274403626,response
Steve W,2023-01-08 02:51:47.386,Robert,2023-01-10 19:28:57.527,0.12820551009757536,response
Steve W,2023-01-08 02:51:47.386,Ada T,2023-01-10 19:29:00.548,0.1282020902117229,response
Steve W,2023-01-08 02:51:47.386,Hope R,2023-01-10 19:29:32.279,0.12816617503464242,response
Robert,2023-01-08 02:52:17.216,Hope R,2023-01-08 02:52:39.841,0.9998002415340912,response
Robert,2023-01-08 02:52:17.216,Mary I,2023-01-08 02:53:11.567,0.9995201966045317,response
Robert,2023-01-08 02:52:17.216,Mindy L,2023-01-08 02:53:36.019,0.9993044126914818,response
Robert,2023-01-08 02:52:17.216,Steve W,2023-01-08 02:54:46.717,0.9986807792863628,response
Robert,2023-01-08 02:52:17.216,Mary I,2023-01-08 02:55:24.906,0.9983440725984162,response
Robert,2023-01-08 02:52:17.216,Steve W,2023-01-10 02:15:04.017,0.2217726841033663,response
Robert,2023-01-08 02:52:17.216,Hope R,2023-01-10 15:54:33.078,0.1436659509600246,response
Robert,2023-01-08 02:52:17.216,Steve W,2023-01-10 16:06:37.192,0.14275029336622186,response
Robert,2023-01-08 02:52:17.216,Ada T,2023-01-10 19:27:37.980,0.12832939044715727,response
Robert,2023-01-08 02:52:17.216,Hope R,2023-01-10 19:27:51.981,0.12831352624160047,response
Robert,2023-01-08 02:52:17.216,Hope R,2023-01-10 19:28:19.904,0.12828189319911207,response
Robert,2023-01-08 02:52:17.216,Hope R,2023-01-10 19:28:28.713,0.1282719153928473,response
Robert,2023-01-08 02:52:17.216,Hope R,2023-01-10 19:28:37.704,0.12826173223853463,response
Robert,2023-01-08 02:52:17.216,Ada T,2023-01-10 19:29:00.548,0.1282358628931728,response
Robert,2023-01-08 02:52:17.216,Hope R,2023-01-10 19:29:32.279,0.1281999382548438,response
Hope R,2023-01-08 02:52:39.841,Mary I,2023-01-08 02:53:11.567,0.999719899117918,response
Hope R,2023-01-08 02:52:39.841,Mindy L,2023-01-08 02:53:36.019,0.9995040720915924,response
Hope R,2023-01-08 02:52:39.841,Steve W,2023-01-08 02:54:46.717,0.998880314085531,response
Hope R,2023-01-08 02:52:39.841,Mary I,2023-01-08 02:55:24.906,0.9985435401241345,response
Hope R,2023-01-08 02:52:39.841,Steve W,2023-01-10 02:15:04.017,0.2218169939257854,response
Hope R,2023-01-08 02:52:39.841,Steve W,2023-01-10 16:06:37.192,0.14277881464319925,response
Hope R,2023-01-08 02:52:39.841,Ada T,2023-01-10 19:27:37.980,0.12835503045113186,response
Hope R,2023-01-08 02:52:39.841,Robert,2023-01-10 19:28:12.522,0.1283158874490108,response
